,Species,Country.of.Origin,Harvest.Year,Variety,Processing.Method,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_mean_meters,Total.Cup.Points
0,0,8,5,5,4,0,0.0,2,0,2075.0,9.0
1,0,8,5,15,4,0,0.0,2,1,2075.0,9.0
2,0,9,3,2,4,0,0.0,2,0,1700.0,9.0
3,0,8,5,5,0,0,0.0,2,2,2000.0,9.0
4,0,8,5,15,4,0,0.0,2,2,2075.0,9.0
5,0,0,4,5,0,0,0.0,1,1,1775.0305449954915,9.0
6,0,24,3,15,4,0,0.0,1,0,1775.0305449954915,9.0
7,0,8,1,5,4,0,0.0,2,0,1635.0,9.0
8,0,8,1,5,4,0,0.0,2,0,1635.0,9.0
9,0,8,5,15,0,0,0.0,2,4,1822.5,9.0
10,0,8,5,5,0,0,0.0,2,1,1905.0,9.0
11,0,31,5,15,4,0,0.0,2,0,1872.0,9.0
12,0,31,5,15,4,0,0.0,2,0,1943.0,9.0
13,0,32,1,5,4,0,0.0,2,2,609.6,9.0
14,0,8,1,5,4,0,0.0,2,2,1635.0,9.0
15,0,31,5,15,4,0,0.0,2,0,2080.0,9.0
16,0,13,3,5,4,0,0.0,2,0,1500.0,8.0
17,0,8,1,5,4,0,0.0,2,2,1775.0305449954915,8.0
18,0,2,6,3,4,0,0.0,2,0,1450.0,8.0
19,0,8,5,7,0,0,0.0,2,8,1850.0,8.0
20,0,31,5,15,4,0,0.0,2,0,2019.0,8.0
21,0,4,5,5,4,0,0.0,2,2,1300.0,8.0
22,0,19,3,15,4,0,0.0,2,0,1320.0,8.0
23,0,31,5,15,4,0,0.0,2,0,2112.0,8.0
24,0,8,4,5,0,0,0.0,1,1,1775.0305449954915,8.0
25,0,0,2,2,0,0,0.0,2,2,1250.0,8.0
26,0,8,1,5,4,0,0.0,2,2,1775.0305449954915,8.0
27,0,30,4,21,4,0,0.0,2,1,1950.0,8.0
28,0,11,7,5,4,0,0.0,2,3,1400.0,8.0
29,0,27,6,25,2,0,0.0,2,0,1200.0,8.0
30,0,21,3,5,4,0,0.0,2,2,1775.0305449954915,8.0
31,0,28,3,5,0,0,0.0,1,1,1775.0305449954915,8.0
32,0,0,2,2,0,0,0.0,2,2,1300.0,8.0
33,0,4,7,5,4,0,0.0,0,0,1300.0,8.0
34,0,8,5,5,0,0,0.0,2,3,1775.0,8.0
35,0,15,4,23,4,0,0.0,0,1,1800.0,8.0
36,0,32,3,9,0,1,0.0,2,4,1775.0305449954915,8.0
37,0,32,1,5,4,2,0.0,2,1,1775.0305449954915,8.0
38,0,8,1,5,4,0,0.0,2,2,1775.0305449954915,8.0
39,0,31,5,15,4,0,0.0,2,0,1941.0,8.0
40,0,29,3,5,4,1,0.0,2,9,1300.0,8.0
41,0,0,1,28,4,0,0.0,2,2,12.0,8.0
42,0,0,1,28,4,0,0.0,2,3,12.0,8.0
43,0,27,6,2,3,0,0.0,2,0,1000.0,8.0
44,0,15,5,22,0,0,0.0,1,2,1754.0,8.0
45,0,0,2,2,3,0,0.0,0,2,1250.0,8.0
46,0,30,5,5,3,0,0.0,2,0,1775.0305449954915,8.0
47,0,3,4,5,4,1,0.0,2,1,1200.0,8.0
48,0,15,4,22,4,0,0.0,2,1,1860.0,8.0
49,0,30,3,15,4,0,0.0,0,0,1650.0,8.0
50,0,8,1,5,4,0,0.0,2,4,1750.0,8.0
51,0,32,0,5,4,0,0.0,2,0,426.72,8.0
52,0,9,7,2,4,0,1.0,2,3,1775.0305449954915,8.0
53,0,30,4,21,0,0,0.0,2,0,1650.0,8.0
54,0,3,4,5,4,1,0.0,0,0,1800.0,8.0
55,0,22,8,8,4,0,1.0,1,0,1600.0,8.0
56,0,8,5,5,4,0,0.0,2,4,1900.0,8.0
57,0,9,3,2,4,0,0.0,2,3,1524.0,8.0
58,0,9,3,4,4,0,0.0,1,1,1417.32,8.0
59,0,8,8,5,0,0,4.0,2,7,1775.0305449954915,8.0
60,0,24,4,5,4,4,0.0,2,6,1775.0305449954915,8.0
61,0,23,3,5,4,0,0.0,1,1,1700.0,8.0
62,0,7,4,2,4,0,0.0,0,3,1500.0,8.0
63,0,7,3,2,3,0,0.0,2,0,1350.0,8.0
64,0,32,3,9,0,0,0.0,2,1,1775.0305449954915,8.0
65,0,22,5,5,0,2,0.0,2,2,1680.0,8.0
66,0,15,5,22,0,0,0.0,2,3,1900.0,8.0
67,0,8,6,15,0,0,0.0,2,7,1900.0,8.0
68,0,30,4,21,4,0,0.0,2,1,1600.0,8.0
69,0,9,4,2,4,0,0.0,2,1,1731.264,8.0
70,0,8,6,5,4,0,0.0,2,18,1900.0,8.0
71,0,30,4,21,4,0,0.0,2,5,1950.0,8.0
72,0,32,3,9,0,4,0.0,2,6,1775.0305449954915,8.0
73,0,0,2,2,3,0,0.0,0,1,1250.0,8.0
74,0,7,1,5,4,0,0.0,2,0,1400.0,8.0
75,0,2,6,3,0,0,0.0,2,0,1700.0,8.0
76,0,9,5,16,0,0,0.0,2,1,1770.0,8.0
77,0,4,5,5,4,0,0.0,1,0,1300.0,8.0
78,0,4,5,5,4,0,0.0,1,2,1300.0,8.0
79,0,15,3,23,4,0,0.0,2,2,1600.0,8.0
80,0,15,3,23,4,0,0.0,2,6,1200.0,8.0
81,0,8,1,5,4,0,0.0,2,2,1775.0305449954915,8.0
82,0,8,1,27,4,0,0.0,2,3,1775.0305449954915,8.0
