,Species,Country.of.Origin,Harvest.Year,Variety,Processing.Method,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_mean_meters,Total.Cup.Points
0,Arabica,Ethiopia,2014,Caturra,Washed / Wet,0,0.0,Green,0,2075.0,9.0
1,Arabica,Ethiopia,2014,Other,Washed / Wet,0,0.0,Green,1,2075.0,9.0
2,Arabica,Guatemala,2012,Bourbon,Washed / Wet,0,0.0,Green,0,1700.0,9.0
3,Arabica,Ethiopia,2014,Caturra,Natural / Dry,0,0.0,Green,2,2000.0,9.0
4,Arabica,Ethiopia,2014,Other,Washed / Wet,0,0.0,Green,2,2075.0,9.0
5,Arabica,Brazil,2013,Caturra,Natural / Dry,0,0.0,Bluish-Green,1,1775.0305449954915,9.0
6,Arabica,Peru,2012,Other,Washed / Wet,0,0.0,Bluish-Green,0,1775.0305449954915,9.0
7,Arabica,Ethiopia,2010,Caturra,Washed / Wet,0,0.0,Green,0,1635.0,9.0
8,Arabica,Ethiopia,2010,Caturra,Washed / Wet,0,0.0,Green,0,1635.0,9.0
9,Arabica,Ethiopia,2014,Other,Natural / Dry,0,0.0,Green,4,1822.5,9.0
10,Arabica,Ethiopia,2014,Caturra,Natural / Dry,0,0.0,Green,1,1905.0,9.0
11,Arabica,United States,2014,Other,Washed / Wet,0,0.0,Green,0,1872.0,9.0
12,Arabica,United States,2014,Other,Washed / Wet,0,0.0,Green,0,1943.0,9.0
13,Arabica,United States (Hawaii),2010,Caturra,Washed / Wet,0,0.0,Green,2,609.6,9.0
14,Arabica,Ethiopia,2010,Caturra,Washed / Wet,0,0.0,Green,2,1635.0,9.0
15,Arabica,United States,2014,Other,Washed / Wet,0,0.0,Green,0,2080.0,9.0
16,Arabica,Indonesia,2012,Caturra,Washed / Wet,0,0.0,Green,0,1500.0,8.0
17,Arabica,Ethiopia,2010,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,8.0
18,Arabica,China,2015,Catimor,Washed / Wet,0,0.0,Green,0,1450.0,8.0
19,Arabica,Ethiopia,2014,Ethiopian Yirgacheffe,Natural / Dry,0,0.0,Green,8,1850.0,8.0
20,Arabica,United States,2014,Other,Washed / Wet,0,0.0,Green,0,2019.0,8.0
21,Arabica,Costa Rica,2014,Caturra,Washed / Wet,0,0.0,Green,2,1300.0,8.0
22,Arabica,Mexico,2012,Other,Washed / Wet,0,0.0,Green,0,1320.0,8.0
23,Arabica,United States,2014,Other,Washed / Wet,0,0.0,Green,0,2112.0,8.0
24,Arabica,Ethiopia,2013,Caturra,Natural / Dry,0,0.0,Bluish-Green,1,1775.0305449954915,8.0
25,Arabica,Brazil,2011,Bourbon,Natural / Dry,0,0.0,Green,2,1250.0,8.0
26,Arabica,Ethiopia,2010,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,8.0
27,Arabica,Uganda,2013,SL14,Washed / Wet,0,0.0,Green,1,1950.0,8.0
28,Arabica,Honduras,2016,Caturra,Washed / Wet,0,0.0,Green,3,1400.0,8.0
29,Arabica,Taiwan,2015,Sumatra,Pulped natural / honey,0,0.0,Green,0,1200.0,8.0
30,Arabica,Nicaragua,2012,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,8.0
31,Arabica,"Tanzania, United Republic Of",2012,Caturra,Natural / Dry,0,0.0,Bluish-Green,1,1775.0305449954915,8.0
32,Arabica,Brazil,2011,Bourbon,Natural / Dry,0,0.0,Green,2,1300.0,8.0
33,Arabica,Costa Rica,2016,Caturra,Washed / Wet,0,0.0,Blue-Green,0,1300.0,8.0
34,Arabica,Ethiopia,2014,Caturra,Natural / Dry,0,0.0,Green,3,1775.0,8.0
35,Arabica,Kenya,2013,SL34,Washed / Wet,0,0.0,Blue-Green,1,1800.0,8.0
36,Arabica,United States (Hawaii),2012,Hawaiian Kona,Natural / Dry,1,0.0,Green,4,1775.0305449954915,8.0
37,Arabica,United States (Hawaii),2010,Caturra,Washed / Wet,2,0.0,Green,1,1775.0305449954915,8.0
38,Arabica,Ethiopia,2010,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,8.0
39,Arabica,United States,2014,Other,Washed / Wet,0,0.0,Green,0,1941.0,8.0
40,Arabica,Thailand,2012,Caturra,Washed / Wet,1,0.0,Green,9,1300.0,8.0
41,Arabica,Brazil,2010,Yellow Bourbon,Washed / Wet,0,0.0,Green,2,12.0,8.0
42,Arabica,Brazil,2010,Yellow Bourbon,Washed / Wet,0,0.0,Green,3,12.0,8.0
43,Arabica,Taiwan,2015,Bourbon,Semi-washed / Semi-pulped,0,0.0,Green,0,1000.0,8.0
44,Arabica,Kenya,2014,SL28,Natural / Dry,0,0.0,Bluish-Green,2,1754.0,8.0
45,Arabica,Brazil,2011,Bourbon,Semi-washed / Semi-pulped,0,0.0,Blue-Green,2,1250.0,8.0
46,Arabica,Uganda,2014,Caturra,Semi-washed / Semi-pulped,0,0.0,Green,0,1775.0305449954915,8.0
47,Arabica,Colombia,2013,Caturra,Washed / Wet,1,0.0,Green,1,1200.0,8.0
48,Arabica,Kenya,2013,SL28,Washed / Wet,0,0.0,Green,1,1860.0,8.0
49,Arabica,Uganda,2012,Other,Washed / Wet,0,0.0,Blue-Green,0,1650.0,8.0
50,Arabica,Ethiopia,2010,Caturra,Washed / Wet,0,0.0,Green,4,1750.0,8.0
51,Arabica,United States (Hawaii),2009,Caturra,Washed / Wet,0,0.0,Green,0,426.72,8.0
52,Arabica,Guatemala,2016,Bourbon,Washed / Wet,0,1.0,Green,3,1775.0305449954915,8.0
53,Arabica,Uganda,2013,SL14,Natural / Dry,0,0.0,Green,0,1650.0,8.0
